Auction Date,Branch Name,Stock Number,Year,Make,Model,Series Name,Current Bid,Title/Sale Document,Public,Primary Damage,Secondary Damage,Loss Type,New Inventory Time,Timed Auction,Vehicle Type,Vehicle Subtype,Odometer,ODO Status,Start Code,Air Bags,Key,Exterior Color,Interior Color,Engine,Fuel Type,Cylinders,Vin#,Market,Transmission Type,Seller,Drive Line Type,Body Style,Country of Origin,Offsite,Lane,Run,Aisle,Stall,Seller Type,ACV,Region
"Mon Dec 01, 8:30am CST",New Castle,43636497,2018,NISSAN,MAXIMA,3.5 SL,"$1,550 USD",Salvage,NO,Left Side,Left Front,Collision,"Mon Dec 01, 12:44am CST",NO,Automobiles,,"75,163 mi",,Run & Drive,Intact Airbags,Key Available,Gray,Black,"3.5L V-6 DOHC, VVT, 300HP",Gasoline,6 Cyl,1N4AA6AP9JC369039,IAA United States,Automatic,State Farm Group Insurance,Front Wheel Drive,Sedan,United States,NO,A,44,"AA ",31,Insurance,"$13,359 USD",East
"Mon Dec 01, 8:30am CST",New Castle,43655228,2010,NISSAN,MURANO,SL,$375 USD,Salvage,NO,Left Rear,,Collision,"Mon Dec 01, 12:45am CST",NO,SUVs,,"145,310 mi",,Run & Drive,Intact Airbags,Key Available,Black,Black,"3.5L V-6 DOHC, VVT, 265HP",Gasoline,6 Cyl,JN8AZ1MW1AW125865,IAA United States,Automatic,State Farm Group Insurance,All-Wheel Drive,Sport Utility,Japan,NO,A,54,"AA ",31,Insurance,"$4,941 USD",East
"Mon Dec 01, 8:30am CST",New Castle,43632619,2017,NISSAN,PATHFINDER,PLATINUM,"$5,400 USD",Salvage,NO,Rear,,Collision,"Mon Dec 01, 12:44am CST",NO,SUVs,,"64,503 mi",,Run & Drive,Intact Airbags,Key Available,White,Black,"3.5L V-6 DI, DOHC, VVT, 284HP",Gasoline,6 Cyl,5N1DR2MM9HC627298,IAA United States,Automatic,State Farm Group Insurance,Four Wheel Drive,Sport Utility,United States,NO,A,45,"AA ",28,Insurance,"$16,265 USD",East
"Mon Dec 01, 8:30am CST",New Castle,43401329,2006,NISSAN,PATHFINDER,SE,$650 USD,Salvage,NO,Front End,Left Front,Collision,"Mon Dec 01, 12:38am CST",NO,SUVs,,"212,717 mi",,Run & Drive,Deployed Airbags,Key Available,Blue,Black,"4.0L V-6 DOHC, VVT, 270HP",Gasoline,6 Cyl,5N1AR18W06C665296,IAA United States,Automatic,State Farm Group Insurance,Four Wheel Drive,Utility,United States,NO,A,31,"A  ",33,Insurance,"$3,232 USD",East
"Mon Dec 01, 8:30am CST",New Castle,43588673,2012,NISSAN,ROGUE,SV,$25 USD,Salvage,NO,Front End,Biohazard,Collision,"Mon Dec 01, 12:42am CST",NO,SUVs,,1 mi,Inoperable Digital Dash,Stationary,Deployed Airbags,,White,Black,"2.5L I-4 DOHC, VVT, 170HP",Gasoline,4 Cyl,JN8AS5MV3CW351072,IAA United States,Automatic,State Farm Group Insurance,All-Wheel Drive,Sport Utility,Japan,NO,A,6,"A  ",37,Insurance,"$5,477 USD",East
"Mon Dec 01, 8:30am CST",New Castle,43389918,2019,NISSAN,SENTRA,SV,$200 USD,Salvage,NO,Right Front,Front End,Collision,"Mon Dec 01, 12:37am CST",NO,Automobiles,,"69,805 mi",,Starts,Deployed Airbags,Key Available,Black,Black,"1.8L I-4 DOHC, VVT, 124HP",Gasoline,4 Cyl,3N1AB7AP1KY223386,IAA United States,Automatic,State Farm Group Insurance,Front Wheel Drive,Sedan,Mexico,NO,A,32,"A  ",13,Insurance,"$13,253 USD",East
"Mon Dec 01, 8:30am CST",New Castle,43491953,2016,RAM,1500,TRADESMAN,"$2,500 USD",Salvage,NO,Right Side,,Collision,"Mon Dec 01, 12:40am CST",NO,Automobiles,,"68,899 mi",,Run & Drive,Intact Airbags,Key Available,Black,,"5.7L V-8 VVT, 395HP",Gasoline,8 Cyl,1C6RR7ST2GS408230,IAA United States,Automatic,,Four Wheel Drive,Crew Cab,United States,NO,A,56,"L  ",1,Non-Insurance,"$16,500 USD",East
"Mon Dec 01, 8:30am CST",New Castle,43578808,2018,SUBARU,FORESTER,2.5I PREMIUM,"$4,150 USD",Salvage,NO,Right Side,,Collision,"Mon Dec 01, 12:42am CST",NO,SUVs,,"63,127 mi",,Run & Drive,Intact Airbags,Key Available,Blue,Black,"2.5L H-4 DOHC, VVT, 170HP",Gasoline,4 Cyl,JF2SJAGC6JH495417,IAA United States,Automatic,State Farm Group Insurance,All-Wheel Drive,Sport Utility,Japan,NO,A,17,"A  ",20,Insurance,"$16,554 USD",East
"Mon Dec 01, 8:30am CST",New Castle,43617130,2017,SUBARU,LEGACY,2.5I PREMIUM,$275 USD,Salvage,NO,Rear,Right Rear,Collision,"Mon Dec 01, 12:43am CST",NO,Automobiles,,"183,620 mi",,Run & Drive,Intact Airbags,Key Available,Blue,Black,"2.5L H-4 DOHC, VVT, 175HP",Gasoline,4 Cyl,4S3BNAF66H3037141,IAA United States,Automatic,State Farm Group Insurance,All-Wheel Drive,Sedan,United States,NO,A,1,"A  ",25,Insurance,"$6,832 USD",East
"Mon Dec 01, 8:30am CST",New Castle,43313442,2013,TOYOTA,COROLLA,LE,"$2,850 USD",Salvage,NO,Front End,,Collision,"Mon Dec 01, 12:36am CST",NO,Automobiles,,"104,243 mi",,Run & Drive,Intact Airbags,Key Available,Blue,Gray,"1.8L I-4 DOHC, VVT, 132HP",Gasoline,4 Cyl,2T1BU4EE8DC071998,IAA United States,Automatic,State Farm Group Insurance,Front Wheel Drive,Sedan,Canada,NO,A,9,"A  ",33,Insurance,"$9,075 USD",East
"Mon Dec 01, 8:30am CST",New Castle,43672746,2024,TOYOTA,RAV4,LE,"$10,700 USD",Salvage,NO,Left Front,Right Rear,Collision,"Mon Dec 01, 12:45am CST",NO,SUVs,,"20,220 mi",,Run & Drive,Intact Airbags,Key Available,White,Black,"2.5L I-4 DI, DOHC, VVT, 203HP",Gasoline,4 Cyl,2T3G1RFV3RC455602,IAA United States,Automatic,State Farm Group Insurance,All-Wheel Drive,Sport Utility,Canada,NO,A,42,"DZ ",1,Insurance,"$29,241 USD",East
"Mon Dec 01, 8:30am CST",New Castle,43193829,2018,TOYOTA,SIENNA,XLE 8 PASSENGER,"$2,750 USD",Salvage,NO,Front End,Biohazard,Collision,"Mon Dec 01, 12:35am CST",NO,Vans,,"79,969 mi",,Starts,Deployed Airbags,Key Available,Gray,Gray,"3.5L V-6 DI, DOHC, VVT, 296HP",Gasoline,6 Cyl,5TDYZ3DC2JS923948,IAA United States,Automatic,State Farm Group Insurance,Front Wheel Drive,Passenger Van,United States,NO,A,12,"A  ",36,Insurance,"$23,165 USD",East
"Mon Dec 01, 8:30am CST",New Castle,43362571,2015,VOLKSWAGEN,BEETLE,1.8T,$325 USD,Salvage,NO,Right Front,Biohazard,Collision,"Mon Dec 01, 12:37am CST",NO,Automobiles,,"53,247 mi",,Stationary,Intact Airbags,Key Available,Pink,Tan,"1.8L I-4 DI, DOHC, VVT, turbo, 170HP",Gasoline,4 Cyl,3VW507AT7FM818898,IAA United States,Automatic,State Farm Group Insurance,Front Wheel Drive,Convertible,Mexico,NO,A,8,"AA ",54,Insurance,"$15,333 USD",East
"Mon Dec 01, 8:30am CST",New Castle,43264864,2015,VOLKSWAGEN,JETTA,1.8T SE,$375 USD,Salvage,NO,Right Side,Front End,Collision,"Mon Dec 01, 12:35am CST",NO,Automobiles,,"137,065 mi",,Stationary,Deployed Airbags,,Black,Black,"1.8L I-4 DI, DOHC, VVT, turbo, 170HP",Gasoline,4 Cyl,3VWD17AJ9FM411303,IAA United States,Automatic,State Farm Group Insurance,Front Wheel Drive,Sedan,Mexico,NO,A,10,"AA ",35,Insurance,"$8,017 USD",East
"Mon Dec 01, 8:30am CST",New Castle,43567623,1991,VOLVO,740," ",$25 USD,Salvage,NO,Front End,Left Side,Collision,"Mon Dec 01, 12:42am CST",NO,Classics,,"206,549 mi",,Stationary,Deployed Airbags,Key Available,Blue,Blue,2.3L I4 FI SOHC F,Gasoline,4 Cyl,YV1FA8856M1327955,IAA United States,Automatic,State Farm Group Insurance,Rear Wheel Drive,Wagon 4 Door,Sweden,NO,A,18,"AA ",25,Insurance,"$3,597 USD",East
